SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,DMDEDUC2,INDFMPIR
21732,2,15,3,NA,NA
21733,1,28,1,2,1.31
21734,1,0,1,NA,1.15
21735,1,67,3,3,NA
21736,1,5,2,NA,NA
21737,1,0,1,NA,0.67
21738,2,17,4,NA,0.6
21739,1,13,3,NA,1.44
21740,1,32,3,3,0.86
21741,1,34,3,5,5
21742,1,3,1,NA,1.6
21743,2,0,4,NA,0
21744,2,13,4,NA,0.92
21745,1,12,4,NA,1.06
21746,2,48,4,2,0.72
21747,2,21,3,2,3.32
21748,2,83,3,4,2.67
21749,1,3,4,NA,1.27
21750,2,0,4,NA,3.13
21751,1,13,4,NA,2.17
21752,2,28,4,4,0.91
21753,1,15,1,NA,0.08
21754,2,12,5,NA,1.31
21755,1,8,3,NA,5
21756,2,9,4,NA,1.09
21757,1,66,4,4,4.98
21758,2,21,3,1,1.03
21759,2,19,4,NA,0.46
21760,2,19,3,NA,0.22
21761,1,11,3,NA,0.95
21762,2,67,3,5,1.93
21763,1,12,1,NA,2.03
21764,1,22,4,3,0
21765,2,6,1,NA,1.01
21766,1,4,3,NA,1.2
21767,1,2,1,NA,3.93
21768,2,85,2,1,1.24
21769,1,24,3,4,4.3
21770,1,1,4,NA,0.69
21771,1,16,4,NA,1.06
21772,1,66,1,5,3.34
21773,1,73,1,1,0.67
21774,1,26,4,2,0.94
21775,2,15,2,NA,1.76
21776,1,25,4,4,NA
21777,2,45,4,4,3.55
21778,2,8,3,NA,1.52
21779,2,52,5,5,5
21780,2,19,4,NA,5
21781,1,36,5,4,4.35
21782,2,68,1,1,1.64
21783,1,37,4,4,2.67
21784,2,13,4,NA,5
21785,2,75,3,2,2.29
21786,2,2,3,NA,0.35
21787,2,3,5,NA,3.61
21788,1,30,1,5,5
21789,2,65,4,3,2.65
21790,2,61,1,4,1.2
21791,1,21,3,4,2.78
21792,2,79,3,4,1.49
21793,2,17,3,NA,4.18
21794,1,74,1,1,NA
21795,1,33,3,5,5
21796,1,43,3,5,5
21797,2,0,4,NA,NA
21798,1,5,5,NA,1.54
21799,2,30,3,3,0.96
21800,1,5,1,NA,1.49
21801,2,14,3,NA,4.35
21802,2,17,3,NA,0.48
21803,1,1,4,NA,1.04
21804,2,11,1,NA,0.95
21805,2,1,1,NA,0.32
21806,2,37,4,4,3.6
21807,1,17,4,NA,1.06
21808,2,13,1,NA,4.46
21809,2,10,4,NA,2.59
21810,2,14,3,NA,1.79
21811,2,19,1,NA,3.17
21812,2,35,3,4,3.63
21813,2,20,3,3,1.98
21814,2,10,4,NA,1.64
21815,2,15,4,NA,1.02
21816,2,8,1,NA,2.86
21817,1,55,1,3,5
21818,2,8,4,NA,3.71
21819,2,48,4,1,1.9
21820,2,6,3,NA,0.08
21821,2,9,4,NA,2.1
21822,1,15,1,NA,0.88
21823,1,33,1,3,3.67
21824,1,32,3,5,5
21825,1,27,1,3,5
21826,1,12,5,NA,3.65
21827,2,3,1,NA,0.64
21828,1,13,1,NA,2.18
21829,1,36,3,5,1.98
21830,2,2,4,NA,3.8
21831,1,63,3,5,5
21832,2,48,3,4,3.3
21833,2,18,1,NA,1.7
21834,1,50,3,5,4.64
21835,1,13,2,NA,0.59
21836,2,80,3,2,1.16
21837,2,2,3,NA,1.17
21838,1,31,2,2,1.04
21839,2,8,5,NA,1.63
21840,2,0,3,NA,0.96
21841,1,30,4,4,4.08
21842,1,35,4,3,1.27
21843,1,3,3,NA,2.18
21844,2,17,5,NA,1.15
21845,1,32,3,5,5
21846,2,12,3,NA,3.71
21847,2,0,1,NA,0.34
21848,1,49,1,4,3.56
21849,2,45,1,2,0.6
21850,1,17,4,NA,2.85
21851,1,11,4,NA,NA
21852,1,40,4,3,2
21853,2,12,4,NA,0.24
21854,2,40,2,3,0.86
21855,1,29,4,5,5
21856,1,6,3,NA,4.08
21857,1,63,1,1,0.14
21858,2,85,3,4,2.67
21859,2,73,5,3,1.04
21860,1,83,3,1,0.8
21861,2,23,2,4,1.6
21862,2,33,3,5,1.83
21863,1,3,1,NA,0.42
21864,2,78,1,1,1.29
21865,1,77,3,3,2.08
21866,2,22,4,2,0.94
21867,2,12,4,NA,0.56
21868,2,58,3,5,2.89
21869,2,36,3,4,0.97
21870,2,21,1,2,3.26
21871,2,44,3,4,4.08
21872,1,16,4,NA,5
21873,2,68,3,4,3.01
21874,1,66,4,1,0.96
21875,1,1,4,NA,NA
21876,1,4,1,NA,1.12
21877,1,17,4,NA,3.53
21878,2,81,3,5,3.36
21879,1,7,1,NA,2.79
21880,1,15,4,NA,1.68
21881,2,11,3,NA,5
21882,2,19,5,NA,0.72
21883,1,4,1,NA,NA
21884,1,0,2,NA,0.86
21885,2,52,1,1,NA
21886,1,32,3,4,0.93
21887,1,11,2,NA,0.86
21888,1,18,4,NA,3.15
21889,2,72,3,3,2.8
21890,2,16,4,NA,5
21891,1,13,3,NA,5
21892,1,16,1,NA,NA
21893,2,18,1,NA,0
21894,2,73,4,2,1.72
21895,1,16,3,NA,2
21896,2,69,1,4,2.76
21897,2,48,5,4,3.22
21898,2,67,1,4,1.21
21899,1,1,5,NA,5
