SEQN,FSDHH
32982,4
32983,3
32984,4
32985,4
32986,1
32987,1
32988,1
32989,1
32990,1
32991,1
32992,4
32993,1
32994,1
32995,3
32996,4
32997,1
32998,1
32999,3
33000,1
33001,1
33002,1
33003,1
33004,1
33005,1
33006,1
33007,2
33008,1
33009,1
33010,1
33011,1
33012,1
33013,1
33014,1
33015,3
33016,3
33017,1
33018,4
33019,1
33020,2
33021,1
33022,1
33023,1
33024,3
33025,1
33026,1
33027,1
33028,3
33029,1
33030,1
33031,1
33032,1
33033,3
33034,3
33035,4
33036,3
33037,1
33038,4
33039,1
33040,1
33041,2
33042,1
33043,3
33044,2
33045,1
33046,1
33047,1
33048,1
33049,1
33050,3
33051,1
33052,1
33053,1
33054,1
33055,1
33056,1
33057,3
33058,1
33059,4
33060,1
33061,1
33062,2
33063,3
33064,3
33065,1
33066,3
33067,1
33068,1
33069,1
33070,NA
33071,3
33072,1
33073,2
33074,4
33075,1
33076,1
33077,1
33078,2
33079,1
33080,1
33081,1
33082,1
33083,1
33084,4
33085,1
33086,1
33087,3
33088,1
33089,1
33090,4
33091,1
33092,1
33093,1
33094,2
33095,3
33096,1
33097,1
33098,1
33099,1
33100,4
33101,1
33102,1
33103,1
33104,1
33105,1
33106,1
33107,2
33108,1
33109,1
33110,4
33111,1
33112,1
33113,1
33114,2
33115,3
33116,1
33117,1
33118,3
33119,1
33120,1
33121,1
33122,4
33123,1
33124,1
33125,1
33126,1
33127,2
33128,3
33129,1
33130,1
33131,1
33132,3
33133,1
33134,1
33135,1
33136,1
33137,4
33138,2
33139,NA
33140,4
33141,3
33142,1
33143,1
33144,2
33145,1
33146,1
33147,3
33148,3
33149,1
33150,1
33151,2
33152,1
33153,1
33154,3
33155,3
33156,4
33157,4
33158,2
33159,1
33160,2
33161,3
33162,3
33163,1
33164,2
33165,1
33166,1
33167,1
33168,4
33169,1
33170,3
33171,1
33172,1
33173,1
33174,3
33175,2
33176,1
33177,1
33178,1
33179,3
33180,2
33181,4
33182,4
33183,2
33184,1
33185,1
33186,NA
33187,1
33188,2
33189,1
33190,2
33191,3
33192,1
33193,2
33194,2
33195,1
33196,1
33197,1
33198,2
33199,1
33200,2
33201,1
33202,1
33203,1
33204,1
33205,1
33206,4
33207,1
33208,1
33209,2
33210,1
33211,1
33212,1
33213,1
33214,1
33215,NA
33216,1
33217,2
33218,1
33219,1
33220,2
33221,3
33222,1
33223,1
33224,3
33225,2
33226,1
33227,3
33228,4
33229,3
33230,1
33231,1
33232,1
33233,1
33234,2
33235,1
33236,1
33237,2
33238,2
33239,1
33240,1
33241,1
33242,NA
33243,1
33244,1
33245,1
33246,1
33247,1
33248,1
33249,NA
33250,1
33251,3
33252,1
33253,3
33254,1
33255,1
33256,1
33257,1
33258,1
33259,1
33260,4
33261,1
33262,2
33263,2
33264,1
33265,3
33266,4
33267,2
33268,1
33269,1
33270,1
33271,2
33272,1
33273,1
33274,2
33275,1
33276,1
33277,1
33278,1
33279,1
33280,1
33281,1
33282,1
33283,1
33284,1
33285,1
33286,3
33287,4
33288,NA
33289,NA
33290,1
33291,1
33292,1
33293,3
33294,1
33295,1
33296,1
33297,2
33298,4
33299,2
33300,1
33301,2
33302,1
33303,NA
33304,1
33305,1
33306,1
33307,3
33308,1
33309,4
33310,3
33311,1
33312,3
33313,2
33314,1
33315,3
33316,3
33317,1
33318,1
33319,1
33320,1
33321,1
33322,1
33323,1
33324,1
33325,1
33326,2
33327,1
33328,4
33329,1
33330,3
33331,2
33332,1
33333,2
33334,1
33335,1
33336,2
33337,1
33338,1
33339,1
33340,1
33341,3
33342,4
33343,1
33344,1
33345,1
33346,1
33347,1
33348,1
33349,1
33350,4
33351,2
33352,1
33353,1
33354,3
33355,1
33356,1
33357,1
33358,1
33359,1
33360,1
33361,2
33362,1
33363,1
33364,1
33365,3
33366,1
33367,1
33368,1
33369,1
33370,1
33371,1
33372,1
33373,1
33374,1
33375,1
33376,1
33377,1
33378,3
33379,1
33380,4
33381,1
33382,1
33383,1
33384,1
33385,1
33386,3
33387,1
33388,1
33389,1
33390,1
33391,3
33392,1
33393,1
33394,1
33395,4
33396,1
33397,2
33398,1
33399,1
33400,1
33401,3
33402,1
33403,3
33404,1
33405,1
33406,1
33407,2
33408,4
33409,3
33410,1
33411,1
33412,3
33413,1
33414,3
33415,4
33416,1
33417,1
33418,1
33419,3
33420,1
33421,1
33422,2
33423,3
33424,1
33425,1
33426,1
33427,4
33428,2
33429,1
33430,1
33431,1
33432,1
33433,1
33434,1
33435,3
33436,4
33437,4
33438,1
33439,3
33440,1
33441,1
33442,1
33443,4
33444,1
33445,2
33446,1
33447,3
33448,3
33449,2
33450,1
33451,1
33452,1
33453,4
33454,1
33455,1
33456,2
33457,1
33458,3
33459,1
33460,1
33461,1
33462,NA
33463,1
33464,1
33465,1
33466,1
33467,1
33468,1
33469,1
33470,1
33471,1
33472,1
33473,1
33474,1
33475,1
33476,1
33477,1
33478,1
33479,1
33480,NA
33481,3
33482,1
33483,1
33484,1
33485,3
33486,4
33487,3
33488,1
33489,1
33490,1
33491,1
33492,1
33493,2
33494,1
33495,1
33496,1
33497,3
33498,2
33499,1
33500,1
33501,2
33502,4
33503,2
33504,1
33505,1
33506,1
33507,3
33508,1
33509,1
33510,2
33511,4
33512,3
33513,1
33514,1
33515,2
33516,1
33517,1
33518,1
33519,1
33520,1
33521,1
33522,1
33523,1
33524,3
33525,1
33526,1
33527,1
33528,1
33529,1
33530,1
33531,1
33532,1
33533,1
33534,1
33535,1
33536,1
33537,1
33538,1
33539,1
33540,1
33541,1
33542,1
33543,1
33544,1
33545,2
33546,1
33547,1
33548,4
33549,1
33550,1
33551,1
33552,1
33553,1
33554,2
33555,2
33556,2
33557,1
33558,1
33559,1
33560,1
33561,1
33562,1
33563,1
33564,1
33565,1
33566,1
33567,1
33568,1
33569,1
33570,1
33571,NA
33572,3
33573,1
33574,1
33575,1
33576,1
33577,1
33578,1
33579,NA
33580,1
33581,1
33582,1
33583,4
33584,1
33585,4
33586,1
33587,1
33588,2
33589,4
33590,2
33591,1
33592,1
33593,2
33594,1
33595,1
33596,1
33597,1
33598,1
33599,4
33600,1
33601,1
33602,1
33603,1
33604,1
33605,4
33606,3
33607,1
33608,1
33609,1
33610,4
33611,1
33612,1
33613,2
33614,1
33615,1
33616,1
33617,1
33618,1
33619,3
33620,1
33621,1
33622,1
33623,2
33624,1
33625,1
33626,1
33627,1
33628,1
33629,1
33630,4
33631,1
33632,1
33633,1
33634,1
33635,1
33636,2
33637,2
33638,1
33639,4
33640,1
33641,1
33642,1
33643,1
33644,1
33645,1
33646,1
33647,3
33648,1
33649,1
33650,1
33651,3
33652,1
33653,1
33654,3
33655,1
33656,1
33657,1
33658,1
33659,4
33660,1
33661,3
33662,1
33663,1
33664,1
33665,2
33666,1
33667,1
33668,1
33669,1
33670,1
33671,2
33672,3
33673,1
33674,4
33675,1
33676,1
33677,2
33678,NA
33679,1
33680,1
33681,1
33682,1
33683,1
33684,1
33685,1
33686,1
33687,1
33688,1
33689,1
33690,1
33691,2
33692,1
33693,1
33694,1
33695,1
33696,2
33697,2
33698,1
33699,1
33700,1
33701,1
33702,1
33703,3
33704,1
33705,2
33706,1
33707,3
33708,3
33709,4
33710,1
33711,1
33712,3
33713,1
33714,1
33715,1
33716,1
33717,3
33718,2
33719,1
33720,1
33721,1
33722,1
33723,1
33724,NA
33725,1
33726,1
33727,4
33728,1
33729,1
33730,1
33731,3
33732,1
33733,1
33734,3
33735,1
33736,1
33737,1
33738,1
33739,2
33740,3
33741,1
33742,3
33743,3
33744,4
33745,1
33746,2
33747,3
33748,1
33749,1
33750,1
33751,1
33752,1
33753,2
33754,1
33755,1
33756,1
33757,1
33758,1
33759,1
33760,1
33761,1
33762,1
33763,4
33764,1
33765,1
33766,4
33767,1
33768,1
33769,1
33770,1
33771,1
33772,1
33773,1
33774,1
33775,1
33776,1
33777,1
33778,1
33779,1
33780,3
33781,1
33782,1
33783,3
33784,1
33785,1
33786,2
33787,1
33788,NA
33789,1
33790,1
33791,3
33792,3
33793,1
33794,2
33795,1
33796,1
33797,2
33798,1
33799,1
33800,3
33801,1
33802,1
33803,1
33804,1
33805,1
33806,1
33807,1
33808,1
33809,2
33810,1
33811,1
33812,1
33813,1
33814,4
33815,4
33816,1
33817,1
33818,1
33819,1
33820,1
33821,1
33822,1
33823,1
33824,1
33825,3
33826,1
33827,1
33828,1
33829,1
33830,1
33831,1
33832,1
33833,1
33834,1
33835,4
33836,2
33837,3
33838,1
33839,1
33840,1
33841,1
33842,1
33843,2
33844,1
33845,NA
33846,3
33847,3
33848,1
33849,1
33850,1
33851,1
33852,1
33853,1
33854,3
33855,1
33856,2
33857,NA
33858,1
33859,3
33860,1
33861,1
33862,1
33863,1
33864,1
33865,2
33866,1
33867,1
33868,2
33869,2
33870,1
33871,1
33872,4
33873,1
33874,3
33875,1
33876,1
33877,1
33878,3
33879,1
33880,2
33881,1
33882,1
33883,2
33884,1
33885,1
33886,1
33887,1
33888,2
33889,3
33890,2
33891,1
33892,1
33893,3
33894,1
33895,1
33896,1
33897,3
33898,2
33899,4
33900,3
33901,1
33902,1
33903,2
33904,3
